Year,Month,Season,Season yr,Location,Treatment,Rep ,Phosphate,Total P,Ammonium
2016,July,Summer,Summer 1,Lagoon C,lagoon,1,1.46,2.32,1.416
2016,July,Summer,Summer 1,Lagoon C,lagoon,2,2,5.13,0.727
2016,July,Summer,Summer 1,Lagoon C,lagoon,3,1.04,2.04,0.188
2016,July,Summer,Summer 1,Inflow,lagoon,1,1.4,3.01,1.559
2016,July,Summer,Summer 1,Inflow,lagoon,2,1.11,1.72,0.938
2016,July,Summer,Summer 1,Inflow,lagoon,3,0.65,1.45,1.002
2016,July,Summer,Summer 1,Basin 1,wetland,1,0.61,0.85,0.012
2016,July,Summer,Summer 1,Basin 1,wetland,2,0.62,1.06,0.071
2016,July,Summer,Summer 1,Basin 1,wetland,3,0.67,1.35,0.447
2016,July,Summer,Summer 1,Basin 2,wetland,1,0.59,1.11,0.234
2016,July,Summer,Summer 1,Basin 2,wetland,2,0.65,1.32,0.06
2016,July,Summer,Summer 1,Basin 2,wetland,3,0.58,1.61,0.298
2016,July,Summer,Summer 1,Basin 3,wetland,1,0.48,0.7,0.172
2016,July,Summer,Summer 1,Basin 3,wetland,2,0.53,0.91,0.02
2016,July,Summer,Summer 1,Basin 3,wetland,3,0.48,1.19,0.106
2016,November,Fall,Fall 1,Lagoon C,lagoon,1,1.2,1.74,12.41
2016,November,Fall,Fall 1,Lagoon C,lagoon,2,1.22,1.56,12.31
2016,November,Fall,Fall 1,Lagoon C,lagoon,3,1.3,1.49,12.35
2016,November,Fall,Fall 1,Inflow,lagoon,1,1.37,1.44,12.35
2016,November,Fall,Fall 1,Inflow,lagoon,2,1.34,1.63,11.47
2016,November,Fall,Fall 1,Inflow,lagoon,3,1.4,1.28,11.34
2016,November,Fall,Fall 1,Basin 1,wetland,1,1.24,1.53,0.097
2016,November,Fall,Fall 1,Basin 1,wetland,2,1.1,1.16,0.426
2016,November,Fall,Fall 1,Basin 1,wetland,3,0.88,0.95,2.78
2016,November,Fall,Fall 1,Basin 2,wetland,1,0.94,0.76,1.245
2016,November,Fall,Fall 1,Basin 2,wetland,2,1.01,0.91,0.081
2016,November,Fall,Fall 1,Basin 2,wetland,3,0.61,0.53,0.519
2016,November,Fall,Fall 1,Basin 3,wetland,1,0.78,0.9,1.203
2016,November,Fall,Fall 1,Basin 3,wetland,2,0.76,0.78,1.167
2016,November,Fall,Fall 1,Basin 3,wetland,3,0.82,0.47,1.212
2017,January,Winter,Winter 1,Lagoon C,lagoon,1,1.2,1.69,14.57
2017,January,Winter,Winter 1,Lagoon C,lagoon,2,1.25,2.92,14.86
2017,January,Winter,Winter 1,Lagoon C,lagoon,3,1.14,2.15,14.93
2017,January,Winter,Winter 1,Inflow,lagoon,1,1.12,1.53,14.63
2017,January,Winter,Winter 1,Inflow,lagoon,2,1.11,1.74,14.52
2017,January,Winter,Winter 1,Inflow,lagoon,3,1.13,1.22,13.91
2017,January,Winter,Winter 1,Basin 1,wetland,1,0.98,1.13,5.764
2017,January,Winter,Winter 1,Basin 1,wetland,2,0.61,1.07,5.473
2017,January,Winter,Winter 1,Basin 1,wetland,3,0.64,1.22,3.624
2017,January,Winter,Winter 1,Basin 2,wetland,1,0.82,1.41,5.121
2017,January,Winter,Winter 1,Basin 2,wetland,2,0.71,1.07,4
2017,January,Winter,Winter 1,Basin 2,wetland,3,0.68,1.15,4.3
2017,January,Winter,Winter 1,Basin 3,wetland,1,0.54,0.57,1.194
2017,January,Winter,Winter 1,Basin 3,wetland,2,0.41,0.95,0.959
2017,January,Winter,Winter 1,Basin 3,wetland,3,0.4,0.63,1.059
2017,February,Winter,Winter 1,Lagoon C,lagoon,1,1.39,1.59,19.532
2017,February,Winter,Winter 1,Lagoon C,lagoon,2,1.2,1.38,19.094
2017,February,Winter,Winter 1,Lagoon C,lagoon,3,1.52,2.03,20.3
2017,February,Winter,Winter 1,Inflow,lagoon,1,1.49,1.96,17.804
2017,February,Winter,Winter 1,Inflow,lagoon,2,1.46,2.99,17.1
2017,February,Winter,Winter 1,Inflow,lagoon,3,1.54,1.75,18.212
2017,February,Winter,Winter 1,Basin 1,wetland,1,1.49,1.42,7.529
2017,February,Winter,Winter 1,Basin 1,wetland,2,1.3,1.29,7.339
2017,February,Winter,Winter 1,Basin 1,wetland,3,1.48,1.83,6.356
2017,February,Winter,Winter 1,Basin 2,wetland,1,1.07,1.1,5.047
2017,February,Winter,Winter 1,Basin 2,wetland,2,1.05,1.55,6.444
2017,February,Winter,Winter 1,Basin 2,wetland,3,1.04,1.18,4.89
2017,February,Winter,Winter 1,Basin 3,wetland,1,0.54,0.58,1.426
2017,February,Winter,Winter 1,Basin 3,wetland,2,0.87,0.93,2.203
2017,February,Winter,Winter 1,Basin 3,wetland,3,0.86,0.88,2.125
2017,April,Spring,Spring 1,Lagoon C,lagoon,1,1.08,1.62,21.84
2017,April,Spring,Spring 1,Lagoon C,lagoon,2,1.06,1.43,22.04
2017,April,Spring,Spring 1,Lagoon C,lagoon,3,1.02,1.55,22.08
2017,April,Spring,Spring 1,Inflow,lagoon,1,0.77,1.81,22.3
2017,April,Spring,Spring 1,Inflow,lagoon,2,0.84,1.95,23.75
2017,April,Spring,Spring 1,Inflow,lagoon,3,0.77,1.88,23.24
2017,April,Spring,Spring 1,Basin 1,wetland,1,0.89,1.7,11.96
2017,April,Spring,Spring 1,Basin 1,wetland,2,0.84,1.54,11.1
2017,April,Spring,Spring 1,Basin 1,wetland,3,1.03,1.79,11.01
2017,April,Spring,Spring 1,Basin 2,wetland,1,0.81,1.53,9.747
2017,April,Spring,Spring 1,Basin 2,wetland,2,0.87,1.55,10.19
2017,April,Spring,Spring 1,Basin 2,wetland,3,0.91,1.45,10.02
2017,April,Spring,Spring 1,Basin 3,wetland,1,0.9,1.59,6.112
2017,April,Spring,Spring 1,Basin 3,wetland,2,0.83,1.49,6.262
2017,April,Spring,Spring 1,Basin 3,wetland,3,0.84,1.41,6.226
2017,May,Spring,Spring 1,Lagoon C,lagoon,1,0.24,1.6,4.136
2017,May,Spring,Spring 1,Lagoon C,lagoon,2,0.25,1.07,4.166
2017,May,Spring,Spring 1,Lagoon C,lagoon,3,0.26,1.37,4.132
2017,May,Spring,Spring 1,Inflow,lagoon,1,0.32,0.41,4.015
2017,May,Spring,Spring 1,Inflow,lagoon,2,0.32,1.23,4.113
2017,May,Spring,Spring 1,Inflow,lagoon,3,0.32,1.33,4.308
2017,May,Spring,Spring 1,Basin 1,wetland,1,0.74,1.25,5.426
2017,May,Spring,Spring 1,Basin 1,wetland,2,0.72,1.15,5.185
2017,May,Spring,Spring 1,Basin 1,wetland,3,0.66,1.31,5.277
2017,May,Spring,Spring 1,Basin 2,wetland,1,0.77,1.49,5.421
2017,May,Spring,Spring 1,Basin 2,wetland,2,0.78,1.99,5.461
2017,May,Spring,Spring 1,Basin 2,wetland,3,0.76,1.42,5.558
2017,May,Spring,Spring 1,Basin 3,wetland,1,0.84,1.47,4.739
2017,May,Spring,Spring 1,Basin 3,wetland,2,0.9,1.59,5.015
2017,May,Spring,Spring 1,Basin 3,wetland,3,0.84,1.05,4.996
2017,June,Summer,Summer 2,Lagoon C,lagoon,1,0.05,1.35,0.199
2017,June,Summer,Summer 2,Lagoon C,lagoon,2,0.05,1.2,0.163
2017,June,Summer,Summer 2,Lagoon C,lagoon,3,0.06,1.35,0.163
2017,June,Summer,Summer 2,Inflow,lagoon,1,0.1,0.91,0.582
